MCS,ft0,st0,e0,ft1,st1,e1
1023,-0.0,44.39923609719094,42.1792742923314,-0.0,35.47427301561904,33.70055936483809
1026,-0.0,44.39923609719094,42.1792742923314,-0.0,35.47427301561904,33.70055936483809
1031,-0.0,44.39923609719094,42.1792742923314,-0.0,35.47427301561904,33.70055936483809
1033,-0.0,44.39923609719094,42.1792742923314,-0.0,35.47427301561904,33.70055936483809
1037,-0.0,44.399236097190936,42.17927429233139,-0.0,35.47427301561904,33.70055936483809
1038,-0.0,44.399236097190936,42.17927429233139,-0.0,35.47427301561904,33.70055936483809
1042,-0.0,44.399236097190936,42.17927429233139,-0.0,31.85992890937245,30.266932463903828
1044,-0.0,44.399236097190936,42.17927429233139,-0.0,31.64695455201985,30.06460682441886
1045,-0.0,44.30646834552395,42.09114492824776,-0.0,31.64695455201985,30.06460682441886
1050,-0.0,44.30646834552395,42.09114492824776,-0.0,29.546749405601627,28.069411935321547
1051,-0.0,42.6255163481388,40.494240530731865,-0.0,29.546749405601627,28.069411935321547
1055,-0.0,42.6255163481388,40.494240530731865,-0.0,29.546749405601627,28.069411935321547
1083,-0.0,42.23163692204143,40.12005507593936,-0.0,29.546749405601627,28.069411935321547
1085,-0.0,46.43051490863205,44.10898916320045,-0.0,29.546749405601627,28.069411935321547
1086,-0.0,46.43051490863205,44.10898916320045,-0.0,29.546749405601627,28.069411935321547
1098,-0.0,46.43051490863205,44.10898916320045,-0.0,33.494232345987406,31.819520728688037
1100,-0.0,46.43051490863205,44.10898916320045,-0.0,37.320259308092545,35.454246342687924
1101,-0.0,48.42242765465283,46.00130627192019,-0.0,37.320259308092545,35.454246342687924
1103,-0.0,48.42242765465283,46.00130627192019,-0.0,37.320259308092545,35.454246342687924
1105,-0.0,54.031299483594694,51.32973450941496,-0.0,37.320259308092545,35.454246342687924
1106,-0.0,54.031299483594694,51.32973450941496,-0.0,43.46483630346354,41.29159448829037
1110,-0.0,54.031299483594694,51.32973450941496,-0.0,43.710547739733215,41.52502035274656
1117,-0.0,54.196872732938914,51.48702909629197,-0.0,43.710547739733215,41.52502035274656
1119,-0.0,63.225323728120415,60.0640575417144,-0.0,43.710547739733215,41.52502035274656
1121,-0.0,63.225323728120415,60.0640575417144,-0.0,43.710547739733215,41.52502035274656
1122,-0.0,63.225323728120415,60.0640575417144,-0.0,45.706360660150274,43.42104262714276
1123,-0.0,61.60682361154393,58.52648243096674,-0.0,45.706360660150274,43.42104262714276
1124,-0.0,61.60682361154393,58.52648243096674,-0.0,40.67820491176443,38.644294666176215
1127,-0.0,64.67960436580094,61.4456241475109,-0.0,40.67820491176443,38.644294666176215
1129,-0.0,63.26419822525337,60.100988313990705,-0.0,40.67820491176443,38.644294666176215
1130,-0.0,63.26419822525337,60.100988313990705,-0.0,42.29982489801481,40.184833653114076
1134,-0.0,63.26419822525337,60.100988313990705,-0.0,38.94138233352868,36.99431321685225
1135,-0.0,65.02718029409743,61.77582127939257,-0.0,38.94138233352868,36.99431321685225
